审计层,对象,日期或范围,数量或样本,覆盖或变化,基线结果,加入明确低评级过滤后,候选影响,结论,证据边界,来源
正文抽取,候选相关调整及评级结果与独立报告,2018-01至2026-07,调整类43份；结果公告1082份；无配对结果报告1006份,结果和独立报告下载错误均为0；2份零文本只是延迟披露与更正说明,,,,免费正文批量抽取可行,抽取类目尚未覆盖每份关注公告且机构版式解析仍需保留人工异常队列,http://www.cninfo.com.cn/new/commonUrl/pageOfSearch?url=disclosure/list/search
明确低评级事件,亚药转债128062,2021-03-06,A-降至BBB,F02-252此后入选18次；三因子4次,,,,从公告公开日起硬排除,2020-01-09仅由AA降至A+不属于本轮BBB硬触发,https://static.cninfo.com.cn/finalpage/2021-03-06/1209346007.PDF
明确低评级事件,鸿达转债128085,2021-01-26,AA降至BB,F02-252此后入选1次；三因子22次,,,,从公告公开日起硬排除,评级机构调整日为2021-01-21但市场可用日取公司公开公告日避免前视,https://static.cninfo.com.cn/finalpage/2021-01-26/1209187497.PDF
明确低评级事件,花王转债113595,2021-08-14,A降至BBB+且列入负面观察名单,F02-252此后入选19次；三因子46次,,,,从公告公开日起硬排除,这是明确跌出整个A档的硬触发而非评级展望软标签,https://static.cninfo.com.cn/finalpage/2021-08-14/1210748145.PDF
明确低评级事件,起步转债113576,2021-11-04,A降至BBB+,F02-252此后入选7次；三因子15次,,,,从公告公开日起硬排除,全局可转债类别检索曾漏掉该公告,https://static.cninfo.com.cn/finalpage/2021-11-04/1211478228.PDF
明确低评级事件,搜特转债128100,2022-02-19,A降至BB,F02-252此后入选5次；三因子17次,,,,从公告公开日起硬排除,旧风险表到2023-04-26才排除明显过晚,https://static.cninfo.com.cn/finalpage/2022-02-19/1212400011.PDF
明确低评级事件,众信转债128022,2022-06-16,A降至BBB,F02-252此后入选12次；三因子15次,,,,从公告公开日起硬排除,采用债项和主体均明确进入BBB档的公开报告日,https://static.cninfo.com.cn/finalpage/2022-06-16/1213720395.PDF
明确低评级事件,全筑转债113578,2022-12-31,A降至BBB+,F02-252此后入选0次；三因子0次,,,,从公告公开日起硬排除,后续继续下调但首次硬触发后两候选已无新增入选,https://static.cninfo.com.cn/finalpage/2022-12-31/1215495913.PDF
明确低评级事件,思创转债123096,2023-06-27,A降至BBB+,F02-252此后入选7次；三因子7次,,,,从公告公开日起硬排除,2023-11和2024-02继续下调不重复设首次触发,https://static.cninfo.com.cn/finalpage/2023-06-27/1217146207.PDF
明确低评级事件,城地转债113596,2024-02-09,A-降至BBB,F02-252此后入选4次；三因子0次,,,,从公告公开日起硬排除,只采用无歧义跌入BBB档的日期,https://static.cninfo.com.cn/finalpage/2024-02-09/1219132635.PDF
明确低评级事件,东杰转债123162,2024-06-26,A降至BBB+,F02-252此后入选1次；三因子3次,,,,从公告公开日起硬排除,采用候选实际可见的年度跟踪评级报告,https://static.cninfo.com.cn/finalpage/2024-06-26/1220465191.PDF
明确低评级事件,塞力转债113601,2024-06-29,A降至BBB+,F02-252此后入选0次；三因子7次,,,,从公告公开日起硬排除,2023年AA-降至A仍未作为本轮BBB硬触发,https://static.cninfo.com.cn/finalpage/2024-06-29/1220498864.PDF
明确低评级事件,宏图转债118027,2025-02-22,A-降至BBB+,F02-252此后入选17次；三因子8次,,,,从公告公开日起硬排除,后续继续降至BBB和BB+不重复设首次触发,https://static.cninfo.com.cn/finalpage/2025-02-22/1222605658.PDF
明确低评级事件,芳源转债118020,2025-06-24,A-降至BBB,F02-252此后入选21次；三因子0次,,,,从公告公开日起硬排除,评级结果公告正文可免费解析,https://static.cninfo.com.cn/finalpage/2025-06-24/1223956017.PDF
明确低评级事件,闻泰转债110081,2026-05-28,A降至BBB+,F02-252此后入选2次；三因子0次,,,,从公告公开日起硬排除,2026-02-12仅降至A不作为本轮BBB触发,https://static.cninfo.com.cn/finalpage/2026-05-28/1225333140.PDF
明确低评级事件,申昊转债123142,2026-06-26,A-降至BBB+,F02-252此后入选1次；三因子1次,,,,从公告公开日起硬排除,样本尾部事件观测短只能作为风险状态而非收益结论,https://static.cninfo.com.cn/finalpage/2026-06-26/1225391976.PDF
敏感性复算,F02-252,2019-01-22至2026-07-13,246个执行区间,74期发生换券且变化期平均替换1.55只,25.6208%年化,25.0499%年化,年化减少约0.5708个百分点；四阶段仍正超额,扩展BBB硬过滤未推翻候选但尾部漏项已产生实质影响,仅加入15个逐页核验硬事件且同域均值会随风险域变化,
敏感性复算,经典双低+F02-252+低余额,2019-01-22至2026-07-13,246个执行区间,101期发生换券且变化期平均替换1.58只,28.6341%年化,30.1356%年化,年化增加约1.5015个百分点；四阶段仍正超额,扩展BBB硬过滤未推翻候选且样本结果改善,改善不能解释为信用过滤稳定增厚收益,
最终闸门,历史点时信用风险状态,2018-2026,两候选622个发行人目录补查完成但连续状态尚未完成,评级正文首轮已覆盖高风险类且下载错误清零,,,,候选保留但信用关未最终通过,仍需补齐沪市ST起止和重整及明确兑付风险并做连续性检查；评级展望和正常赎回后终止评级不机械过滤,
