bond_code,bond_name,market,exit_reason,notice_date,record_date,master_execute_date,holder_cash_date,execute_price,source_status,announcement_url
128077,华夏转债,SZ,forced_redemption,2020-06-17,2020-07-28,2020-07-29,2020-08-05,100.39,cninfo_ok,https://static.cninfo.com.cn/finalpage/2020-08-06/1208130870.PDF
113552,克来转债,SH,forced_redemption,2020-07-24,2020-08-06,2020-08-07,2020-08-07,100.34,master_field_semantics_sampled,
128080,顺丰转债,SZ,forced_redemption,2020-07-08,2020-08-03,2020-08-04,2020-08-11,100.14,cninfo_ok,https://static.cninfo.com.cn/finalpage/2020-08-12/1208153615.PDF
113558,日月转债,SH,forced_redemption,2020-07-31,2020-08-18,2020-08-19,2020-08-19,100.262,master_field_semantics_sampled,
113022,浙商转债,SH,forced_redemption,2020-08-11,2020-08-25,2020-08-26,2020-08-26,100.227,master_field_semantics_sampled,
123040,乐普转债,SZ,forced_redemption,2020-07-30,2020-08-19,2020-08-20,2020-08-27,100.19,cninfo_ok,https://static.cninfo.com.cn/finalpage/2020-08-28/1208280276.PDF
113518,顾家转债,SH,forced_redemption,2020-08-18,2020-08-27,2020-08-28,2020-08-28,100.58,master_field_semantics_sampled,
113031,博威转债,SH,forced_redemption,2020-08-14,2020-08-28,2020-08-31,2020-08-31,100.19,master_field_semantics_sampled,
113514,威帝转债,SH,forced_redemption,2020-08-14,2020-08-28,2020-08-31,2020-08-31,100.109,master_field_semantics_sampled,
113019,玲珑转债,SH,forced_redemption,2020-08-14,2020-09-03,2020-09-04,2020-09-04,100.51,master_field_semantics_sampled,
123041,东财转2,SZ,forced_redemption,2020-08-07,2020-08-27,2020-08-28,2020-09-04,100.12,cninfo_ok,https://static.cninfo.com.cn/finalpage/2020-09-05/1208400339.PDF
128086,国轩转债,SZ,forced_redemption,2020-08-06,2020-08-27,2020-08-28,2020-09-04,100.28,cninfo_ok,https://static.cninfo.com.cn/finalpage/2020-09-05/1208399991.PDF
128059,视源转债,SZ,forced_redemption,2020-07-23,2020-08-28,2020-08-31,2020-09-07,100.28,cninfo_ok,https://static.cninfo.com.cn/finalpage/2020-09-08/1208406429.PDF
128089,麦米转债,SZ,forced_redemption,2020-07-28,2020-09-01,2020-09-02,2020-09-09,100.28,cninfo_ok,https://static.cninfo.com.cn/finalpage/2020-09-10/1208420047.PDF
128088,深南转债,SZ,forced_redemption,2020-07-21,2020-09-02,2020-09-03,2020-09-10,100.21,cninfo_ok,https://static.cninfo.com.cn/finalpage/2020-09-11/1208424209.PDF
113554,仙鹤转债,SH,forced_redemption,2020-08-19,2020-09-10,2020-09-11,2020-09-11,100.22,master_field_semantics_sampled,
123020,富祥转债,SZ,forced_redemption,2020-08-01,2020-09-03,2020-09-04,2020-09-11,100.41,cninfo_ok,https://static.cninfo.com.cn/finalpage/2020-09-11/1208428469.PDF
113547,索发转债,SH,forced_redemption,2020-08-22,2020-09-15,2020-09-16,2020-09-16,100.45,master_field_semantics_sampled,
113028,环境转债,SH,forced_redemption,2020-08-19,2020-09-17,2020-09-18,2020-09-18,100.126,master_field_semantics_sampled,
113544,桃李转债,SH,forced_redemption,2020-09-05,2020-09-17,2020-09-18,2020-09-18,100.399,master_field_semantics_sampled,
123037,新莱转债,SZ,forced_redemption,2020-08-10,2020-09-10,2020-09-11,2020-09-18,100.37,cninfo_ok,https://static.cninfo.com.cn/finalpage/2020-09-18/1208461531.PDF
128045,机电转债,SZ,forced_redemption,2020-07-31,2020-09-10,2020-09-11,2020-09-18,100.04,cninfo_ok,https://static.cninfo.com.cn/finalpage/2020-09-19/1208461232.PDF
128084,木森转债,SZ,forced_redemption,2020-08-12,2020-09-10,2020-09-11,2020-09-18,100.3,cninfo_ok,https://static.cninfo.com.cn/finalpage/2020-09-22/1208465468.PDF
128092,唐人转债,SZ,forced_redemption,2020-08-18,2020-10-09,2020-10-12,2020-10-19,100.31,cninfo_ok,https://static.cninfo.com.cn/finalpage/2020-10-20/1208585504.PDF
128043,东音转债,SZ,forced_redemption,2020-09-23,2020-11-02,2020-11-03,2020-11-10,100.25,cninfo_ok,https://static.cninfo.com.cn/finalpage/2020-11-11/1208723709.PDF
128067,一心转债,SZ,forced_redemption,2020-09-17,2020-11-02,2020-11-03,2020-11-10,100.33,cninfo_manual_official,https://static.cninfo.com.cn/finalpage/2020-11-11/1208723768.PDF
113571,博特转债,SH,forced_redemption,2020-10-26,2020-11-17,2020-11-18,2020-11-18,100.34,master_field_semantics_sampled,
128099,永高转债,SZ,forced_redemption,2020-10-28,2020-11-18,2020-11-19,2020-11-26,100.21,cninfo_ok,https://static.cninfo.com.cn/finalpage/2020-11-27/1208804999.PDF
113020,桐昆转债,SH,forced_redemption,2020-11-19,2020-11-26,2020-11-27,2020-11-27,100.022,master_field_semantics_sampled,
113521,科森转债,SH,forced_redemption,2020-11-18,2020-11-26,2020-11-27,2020-11-27,100.031,master_field_semantics_sampled,
128098,康弘转债,SZ,forced_redemption,2020-10-13,2020-11-20,2020-11-23,2020-11-30,100.29,cninfo_ok,https://static.cninfo.com.cn/finalpage/2020-12-01/1208820137.PDF
128058,拓邦转债,SZ,forced_redemption,2020-11-04,2020-11-25,2020-11-26,2020-12-03,100.43,cninfo_ok,https://static.cninfo.com.cn/finalpage/2020-12-07/1208858097.PDF
113553,金牌转债,SH,forced_redemption,2020-11-13,2020-12-03,2020-12-04,2020-12-04,100.39,master_field_semantics_sampled,
113555,振德转债,SH,forced_redemption,2020-11-18,2020-12-03,2020-12-04,2020-12-04,100.479,master_field_semantics_sampled,
123032,万里转债,SZ,forced_redemption,2020-11-03,2020-11-30,2020-12-01,2020-12-08,100.21,cninfo_ok,https://static.cninfo.com.cn/finalpage/2020-12-08/1208870483.PDF
113581,龙蟠转债,SH,forced_redemption,2020-11-19,2020-12-10,2020-12-11,2020-12-11,100.32,master_field_semantics_sampled,
123036,先导转债,SZ,forced_redemption,2020-11-04,2020-12-09,2020-12-10,2020-12-17,100.3,cninfo_ok,https://static.cninfo.com.cn/finalpage/2020-12-18/1208927771.PDF
113562,璞泰转债,SH,forced_redemption,2020-12-14,2020-12-18,2020-12-21,2020-12-21,100.288,master_field_semantics_sampled,
123026,中环转债,SZ,forced_redemption,2020-10-28,2020-12-14,2020-12-15,2020-12-22,100.41,cninfo_ok,https://static.cninfo.com.cn/finalpage/2020-12-22/1208964794.PDF
128102,海大转债,SZ,forced_redemption,2020-11-17,2020-12-22,2020-12-23,2020-12-30,100.15,cninfo_ok,https://static.cninfo.com.cn/finalpage/2020-12-31/1209023620.PDF
113520,百合转债,SH,forced_redemption,2020-12-25,2021-01-06,2021-01-07,2021-01-07,100.16,master_field_semantics_sampled,
128104,裕同转债,SZ,forced_redemption,2020-11-28,2021-01-04,2021-01-05,2021-01-12,100.3,cninfo_ok,https://static.cninfo.com.cn/finalpage/2021-01-13/1209087807.PDF
113032,桐20转债,SH,forced_redemption,2020-12-04,2021-01-13,2021-01-14,2021-01-14,100.262,master_field_semantics_sampled,
113586,上机转债,SH,forced_redemption,2021-01-13,2021-01-19,2021-01-20,2021-01-20,100.308,master_field_semantics_sampled,
113556,至纯转债,SH,forced_redemption,2021-01-05,2021-01-25,2021-01-26,2021-01-26,100.061,master_field_semantics_sampled,
113035,福莱转债,SH,forced_redemption,2021-01-04,2021-01-29,2021-02-01,2021-02-01,100.274,master_field_semantics_sampled,
113587,泛微转债,SH,forced_redemption,2021-01-12,2021-02-22,2021-02-23,2021-02-23,100.345,master_field_semantics_sampled,
128110,永兴转债,SZ,forced_redemption,2021-01-07,2021-02-22,2021-02-23,2021-03-02,100.21,cninfo_ok,https://static.cninfo.com.cn/finalpage/2021-03-03/1209324870.PDF
123017,寒锐转债,SZ,forced_redemption,2021-01-07,2021-02-23,2021-02-24,2021-03-03,100.26,cninfo_ok,https://static.cninfo.com.cn/finalpage/2021-03-03/1209330951.PDF
128115,巨星转债,SZ,forced_redemption,2021-01-23,2021-02-23,2021-02-24,2021-03-03,100.27,cninfo_ok,https://static.cninfo.com.cn/finalpage/2021-03-05/1209337552.PDF
123055,晨光转债,SZ,forced_redemption,2021-01-14,2021-02-24,2021-02-25,2021-03-04,100.35,cninfo_ok,https://static.cninfo.com.cn/finalpage/2021-03-05/1209337906.PDF
113583,益丰转债,SH,forced_redemption,2021-02-09,2021-03-04,2021-03-05,2021-03-05,100.304,master_field_semantics_sampled,
113590,海容转债,SH,forced_redemption,2021-01-25,2021-03-05,2021-03-08,2021-03-08,100.276,master_field_semantics_sampled,
113592,安20转债,SH,forced_redemption,2021-02-10,2021-03-05,2021-03-08,2021-03-08,100.2,master_field_semantics_sampled,
128065,雅化转债,SZ,forced_redemption,2021-01-25,2021-03-01,2021-03-02,2021-03-09,100.53,cninfo_ok,https://static.cninfo.com.cn/finalpage/2021-03-11/1209365067.PDF
128112,歌尔转2,SZ,forced_redemption,2021-01-16,2021-03-02,2021-03-03,2021-03-10,100.14,cninfo_ok,https://static.cninfo.com.cn/finalpage/2021-03-11/1209365052.PDF
127008,特发转债,SZ,forced_redemption,2021-01-30,2021-03-04,2021-03-05,2021-03-12,100.3,cninfo_ok,https://static.cninfo.com.cn/finalpage/2021-03-13/1209377945.PDF
113029,明阳转债,SH,forced_redemption,2021-03-05,2021-03-18,2021-03-19,2021-03-19,100.153,master_field_semantics_sampled,
113038,隆20转债,SH,forced_redemption,2021-03-12,2021-03-30,2021-03-31,2021-03-31,100.2,master_field_semantics_sampled,
128052,凯龙转债,SZ,forced_redemption,2021-02-03,2021-03-23,2021-03-24,2021-03-31,100.25,cninfo_ok,https://static.cninfo.com.cn/finalpage/2021-04-01/1209566225.PDF
110069,瀚蓝转债,SH,forced_redemption,2021-03-31,2021-04-27,2021-04-28,2021-04-28,100.023,master_field_semantics_sampled,
113557,森特转债,SH,forced_redemption,2021-03-31,2021-04-29,2021-04-30,2021-04-30,100.289,master_field_semantics_sampled,
113564,天目转债,SH,forced_redemption,2021-04-06,2021-05-18,2021-05-19,2021-05-19,100.153,master_field_semantics_sampled,
128126,赣锋转2,SZ,forced_redemption,2021-04-01,2021-05-11,2021-05-12,2021-05-19,100.23,cninfo_ok,https://static.cninfo.com.cn/finalpage/2021-05-19/1210004514.PDF
113041,紫金转债,SH,forced_redemption,2021-05-29,2021-06-25,2021-06-28,2021-06-28,100.129,master_field_semantics_sampled,
113559,永创转债,SH,forced_redemption,2021-06-16,2021-06-25,2021-06-28,2021-06-28,100.405,master_field_semantics_sampled,
110065,淮矿转债,SH,forced_redemption,2021-06-11,2021-07-01,2021-07-02,2021-07-02,100.262,master_field_semantics_sampled,
113543,欧派转债,SH,forced_redemption,2021-07-01,2021-07-09,2021-07-12,2021-07-12,100.543,master_field_semantics_sampled,
123058,欣旺转债,SZ,forced_redemption,2021-06-16,2021-07-05,2021-07-06,2021-07-13,100.39,cninfo_ok,https://static.cninfo.com.cn/finalpage/2021-07-14/1210475761.PDF
127023,华菱转2,SZ,forced_redemption,2021-06-16,2021-07-15,2021-07-16,2021-07-23,100.15,cninfo_ok,https://static.cninfo.com.cn/finalpage/2021-07-27/1210573110.PDF
113611,福20转债,SH,forced_redemption,2021-07-02,2021-07-28,2021-07-29,2021-07-29,100.164,master_field_semantics_sampled,
113040,星宇转债,SH,forced_redemption,2021-07-09,2021-08-02,2021-08-03,2021-08-03,100.156,master_field_semantics_sampled,
113509,新泉转债,SH,forced_redemption,2021-08-03,2021-08-17,2021-08-18,2021-08-18,100.308,master_field_semantics_sampled,
123066,赛意转债,SZ,forced_redemption,2021-07-27,2021-08-13,2021-08-16,2021-08-23,100.37,cninfo_ok,https://static.cninfo.com.cn/finalpage/2021-08-24/1210828449.PDF
113508,新凤转债,SH,forced_redemption,2021-07-27,2021-08-31,2021-09-01,2021-09-01,100.526,master_field_semantics_sampled,
128064,司尔转债,SZ,forced_redemption,2021-07-29,2021-08-24,2021-08-25,2021-09-01,100.38,cninfo_ok,https://static.cninfo.com.cn/finalpage/2021-09-02/1210958889.PDF
123033,金力转债,SZ,forced_redemption,2021-07-30,2021-08-30,2021-08-31,2021-09-07,100.83,cninfo_ok,https://static.cninfo.com.cn/finalpage/2021-09-08/1210982768.PDF
113612,永冠转债,SH,forced_redemption,2021-08-17,2021-09-09,2021-09-10,2021-09-10,100.378,master_field_semantics_sampled,
123094,星源转2,SZ,forced_redemption,2021-08-16,2021-09-06,2021-09-07,2021-09-14,100.25,cninfo_ok,https://static.cninfo.com.cn/finalpage/2021-09-15/1211054810.PDF
128051,光华转债,SZ,forced_redemption,2021-08-07,2021-09-07,2021-09-08,2021-09-15,100.73,cninfo_ok,https://static.cninfo.com.cn/finalpage/2021-09-15/1211054639.PDF
123079,运达转债,SZ,forced_redemption,2021-07-29,2021-09-08,2021-09-09,2021-09-16,100.23,cninfo_ok,https://static.cninfo.com.cn/finalpage/2021-09-17/1211075405.PDF
113572,三祥转债,SH,forced_redemption,2021-08-30,2021-09-23,2021-09-24,2021-09-24,100.268,master_field_semantics_sampled,
123030,九洲转债,SZ,forced_redemption,2021-08-26,2021-09-14,2021-09-15,2021-09-24,100.07,cninfo_ok,https://static.cninfo.com.cn/finalpage/2021-09-24/1211145151.PDF
123068,弘信转债,SZ,forced_redemption,2021-09-17,2021-10-11,2021-10-12,2021-10-19,100.397,cninfo_ok,https://static.cninfo.com.cn/finalpage/2021-10-20/1211324884.PDF
123051,今天转债,SZ,forced_redemption,2021-09-16,2021-10-14,2021-10-15,2021-10-22,100.29,cninfo_ok,https://static.cninfo.com.cn/finalpage/2021-10-22/1211363294.PDF
123047,久吾转债,SZ,forced_redemption,2021-09-14,2021-10-20,2021-10-21,2021-10-28,100.47,cninfo_ok,https://static.cninfo.com.cn/finalpage/2021-10-29/1211421867.PDF
123069,金诺转债,SZ,forced_redemption,2021-10-13,2021-11-05,2021-11-08,2021-11-15,100.04,cninfo_ok,https://static.cninfo.com.cn/finalpage/2021-11-16/1211586609.PDF
113580,康隆转债,SH,forced_redemption,2021-11-09,2021-11-18,2021-11-19,2021-11-19,100.46,master_field_semantics_sampled,
123102,华自转债,SZ,forced_redemption,2021-10-20,2021-11-18,2021-11-19,2021-11-26,100.276,cninfo_ok,https://static.cninfo.com.cn/finalpage/2021-11-25/1211704995.PDF
113603,东缆转债,SH,forced_redemption,2021-10-29,2021-11-29,2021-11-30,2021-11-30,100.092,master_field_semantics_sampled,
123028,清水转债,SZ,forced_redemption,2021-11-10,2021-11-29,2021-11-30,2021-12-07,100.67,cninfo_ok,https://static.cninfo.com.cn/finalpage/2021-12-08/1211836295.PDF
128057,博彦转债,SZ,forced_redemption,2021-11-03,2021-11-29,2021-11-30,2021-12-07,100.74,cninfo_ok,https://static.cninfo.com.cn/finalpage/2021-12-08/1211836311.PDF
113614,健20转债,SH,forced_redemption,2021-11-23,2021-12-14,2021-12-15,2021-12-15,100.298,master_field_semantics_sampled,
110051,中天转债,SH,forced_redemption,2021-11-24,2021-12-16,2021-12-17,2021-12-17,100.8,master_field_semantics_sampled,
123074,隆利转债,SZ,forced_redemption,2021-11-24,2021-12-15,2021-12-16,2021-12-23,100.08,cninfo_ok,https://static.cninfo.com.cn/finalpage/2021-12-24/1212002965.PDF
113528,长城转债,SH,forced_redemption,2021-12-11,2021-12-23,2021-12-24,2021-12-24,100.98,master_field_semantics_sampled,
123081,精研转债,SZ,forced_redemption,2021-11-18,2021-12-17,2021-12-20,2021-12-27,100.03,cninfo_ok,https://static.cninfo.com.cn/finalpage/2021-12-28/1212033428.PDF
113607,伟20转债,SH,forced_redemption,2021-12-07,2021-12-28,2021-12-29,2021-12-29,100.078,master_field_semantics_sampled,
113536,三星转债,SH,forced_redemption,2021-12-14,2021-12-30,2021-12-31,2021-12-31,100.586,master_field_semantics_sampled,
123053,宝通转债,SZ,forced_redemption,2021-12-14,2021-12-30,2021-12-31,2022-01-10,100.458,cninfo_ok,https://static.cninfo.com.cn/finalpage/2022-01-11/1212135914.PDF
113034,滨化转债,SH,forced_redemption,2021-12-22,2022-01-10,2022-01-11,2022-01-11,100.378,master_field_semantics_sampled,
128050,钧达转债,SZ,forced_redemption,2022-01-06,2022-01-27,2022-01-28,2022-02-11,100.21,cninfo_ok,https://static.cninfo.com.cn/finalpage/2022-02-12/1212351925.PDF
123043,正元转债,SZ,forced_redemption,2022-01-17,2022-02-17,2022-02-18,2022-02-25,100.67,cninfo_ok,https://static.cninfo.com.cn/finalpage/2022-02-28/1212458366.PDF
128113,比音转债,SZ,forced_redemption,2022-01-25,2022-02-22,2022-02-23,2022-03-02,100.42,cninfo_ok,https://static.cninfo.com.cn/finalpage/2022-03-03/1212493856.PDF
127011,中鼎转2,SZ,forced_redemption,2022-01-25,2022-02-23,2022-02-24,2022-03-03,100.97,cninfo_ok,https://static.cninfo.com.cn/finalpage/2022-03-04/1212502615.PDF
123042,银河转债,SZ,forced_redemption,2022-01-25,2022-02-24,2022-02-25,2022-03-04,100.13,cninfo_ok,https://static.cninfo.com.cn/finalpage/2022-03-07/1212511968.PDF
128094,星帅转债,SZ,forced_redemption,2022-01-25,2022-02-24,2022-02-25,2022-03-04,100.13,cninfo_ok,https://static.cninfo.com.cn/finalpage/2022-03-07/1212509284.PDF
123111,东财转3,SZ,forced_redemption,2022-01-25,2022-02-28,2022-03-01,2022-03-08,100.18,cninfo_ok,https://static.cninfo.com.cn/finalpage/2022-03-09/1212529408.PDF
128096,奥瑞转债,SZ,forced_redemption,2022-01-25,2022-02-28,2022-03-01,2022-03-08,100.05,cninfo_ok,https://static.cninfo.com.cn/finalpage/2022-03-09/1212529847.PDF
113026,核能转债,SH,forced_redemption,2022-01-18,2022-03-08,2022-03-09,2022-03-09,100.899,master_field_semantics_sampled,
128093,百川转债,SZ,forced_redemption,2022-02-08,2022-03-01,2022-03-02,2022-03-09,100.397,cninfo_ok,https://static.cninfo.com.cn/finalpage/2022-03-10/1212536147.PDF
128103,同德转债,SZ,forced_redemption,2022-01-25,2022-03-01,2022-03-02,2022-03-09,100.56,cninfo_ok,https://static.cninfo.com.cn/finalpage/2022-03-10/1212533601.PDF
110066,盛屯转债,SH,forced_redemption,2022-02-22,2022-03-17,2022-03-18,2022-03-18,100.044,master_field_semantics_sampled,
123024,岱勒转债,SZ,forced_redemption,2022-03-08,2022-03-21,2022-03-22,2022-03-29,100.004,cninfo_manual_official,https://disc.static.szse.cn/download/disc/disk03/finalpage/2022-03-08/e63f614e-94ba-4adb-a071-f3f694b03445.PDF
113036,宁建转债,SH,forced_redemption,2022-03-11,2022-04-11,2022-04-12,2022-04-12,100.46,master_field_semantics_sampled,
118002,天合转债,SH,forced_redemption,2022-03-17,2022-04-12,2022-04-13,2022-04-13,100.2,master_field_semantics_sampled,
113550,常汽转债,SH,forced_redemption,2022-04-01,2022-04-18,2022-04-19,2022-04-19,100.5,master_field_semantics_sampled,
113568,新春转债,SH,forced_redemption,2022-05-31,2022-06-10,2022-06-13,2022-06-13,100.323,master_field_semantics_sampled,
113541,荣晟转债,SH,forced_redemption,2022-05-24,2022-06-27,2022-06-28,2022-06-28,100.932,master_field_semantics_sampled,
127013,创维转债,SZ,forced_redemption,2022-06-07,2022-06-28,2022-06-29,2022-07-06,100.31,cninfo_ok,https://static.cninfo.com.cn/finalpage/2022-07-07/1213974537.PDF
110071,湖盐转债,SH,forced_redemption,2022-06-17,2022-07-06,2022-07-07,2022-07-07,100.592,master_field_semantics_sampled,
128107,交科转债,SZ,forced_redemption,2022-05-24,2022-07-07,2022-07-08,2022-07-15,100.21,cninfo_ok,https://static.cninfo.com.cn/finalpage/2022-07-18/1214057964.PDF
113599,嘉友转债,SH,forced_redemption,2022-07-08,2022-07-25,2022-07-26,2022-07-26,100.584,master_field_semantics_sampled,
113630,赛伍转债,SH,forced_redemption,2022-06-25,2022-07-29,2022-08-01,2022-08-01,100.305,master_field_semantics_sampled,
123070,鹏辉转债,SZ,forced_redemption,2022-06-30,2022-07-28,2022-07-29,2022-08-05,100.39,cninfo_ok,https://static.cninfo.com.cn/finalpage/2022-08-05/1214231977.PDF
113548,石英转债,SH,forced_redemption,2022-07-22,2022-08-12,2022-08-15,2022-08-15,100.957,master_field_semantics_sampled,
123073,同和转债,SZ,forced_redemption,2022-07-16,2022-08-15,2022-08-16,2022-08-23,100.56,cninfo_ok,https://static.cninfo.com.cn/finalpage/2022-08-23/1214368705.PDF
128139,祥鑫转债,SZ,forced_redemption,2022-07-27,2022-08-18,2022-08-19,2022-08-26,100.43,cninfo_ok,https://static.cninfo.com.cn/finalpage/2022-08-29/1214426343.PDF
123084,高澜转债,SZ,forced_redemption,2022-07-11,2022-08-19,2022-08-22,2022-08-29,100.49,cninfo_ok,https://static.cninfo.com.cn/finalpage/2022-08-30/1214448857.PDF
123086,海兰转债,SZ,forced_redemption,2022-07-22,2022-08-23,2022-08-24,2022-08-31,100.42,cninfo_ok,https://static.cninfo.com.cn/finalpage/2022-08-31/1214496027.PDF
113620,傲农转债,SH,forced_redemption,2022-07-22,2022-08-31,2022-09-01,2022-09-01,100.24,master_field_semantics_sampled,
123045,雷迪转债,SZ,forced_redemption,2022-08-03,2022-08-31,2022-09-01,2022-09-08,100.56,cninfo_ok,https://static.cninfo.com.cn/finalpage/2022-09-08/1214568286.PDF
127048,中大转债,SZ,forced_redemption,2022-08-09,2022-09-01,2022-09-02,2022-09-09,100.34,cninfo_ok,https://static.cninfo.com.cn/finalpage/2022-09-13/1214577242.PDF
123097,美力转债,SZ,forced_redemption,2022-08-02,2022-09-07,2022-09-08,2022-09-16,100.43,cninfo_ok,https://static.cninfo.com.cn/finalpage/2022-09-16/1214609571.PDF
123062,三超转债,SZ,forced_redemption,2022-08-24,2022-09-14,2022-09-15,2022-09-22,100.14,cninfo_ok,https://static.cninfo.com.cn/finalpage/2022-09-23/1214649809.PDF
118001,金博转债,SH,forced_redemption,2022-08-18,2022-09-23,2022-09-26,2022-09-26,100.12,master_field_semantics_sampled,
113635,升21转债,SH,forced_redemption,2022-09-01,2022-09-28,2022-09-29,2022-09-29,100.24,master_field_semantics_sampled,
123023,迪森转债,SZ,forced_redemption,2022-08-31,2022-09-22,2022-09-23,2022-09-30,100.77,cninfo_ok,https://static.cninfo.com.cn/finalpage/2022-10-10/1214723222.PDF
